name,total,exact,transposed,tonalTransped,inverted,augmented,retrograded,rotated,trInverted,trAugmented,trRetrograded,exact8,transposed8,tonalTransped8,inverted8,augmented8,retrograded8,rotated8,trInverted8,trAugmented8,trRetrograded8,exact6,transposed6,tonalTransped6,inverted6,augmented6,retrograded6,rotated6,trInverted6,trAugmented6,trRetrograded6,exact4,transposed4,tonalTransped4,inverted4,augmented4,retrograded4,rotated4,trInverted4,trAugmented4,trRetrograded4,exact2,transposed2,tonalTransped2,inverted2,augmented2,retrograded2,rotated2,trInverted2,trAugmented2,trRetrograded2,unclassified
ALL:mozartK282Mvt2:2016DM:SIATECCompressR,288,0,0,0,0,0,0,0,0,0,0,0,2,13,0,0,3,3,0,0,0,11,7,31,0,0,2,1,2,1,1,32,9,30,0,0,11,0,0,0,1,34,6,41,0,0,5,0,0,0,0,42
mozartK282Mvt2:2016DM:SIATECCompressR:-,32,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,3,4,7,0,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7
mozartK282Mvt2:2016DM:SIATECCompressR:-,32,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,4,0,0,1,0,0,1,0,4,1,0,0,0,2,0,0,0,0,11,1,0,0,0,0,0,0,0,0,3
mozartK282Mvt2:2016DM:SIATECCompressR:-,32,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,2,0,0,0,1,1,1,0,1,5,2,0,0,0,4,0,0,0,0,2,0,0,0,0,2,0,0,0,0,8
mozartK282Mvt2:2016DM:SIATECCompressR:-,32,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,0,1,0,0,0,0,1,0,0,6,2,1,0,0,3,0,0,0,1,3,0,0,0,0,1,0,0,0,0,8
mozartK282Mvt2:2016DM:SIATECCompressR:-,32,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,1,4,0,0,0,0,0,0,0,7,2,9,0,0,2,0,0,0,0,2
mozartK282Mvt2:2016DM:SIATECCompressR:-,32,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,4,3,11,0,0,0,0,0,0,0,4
mozartK282Mvt2:2016DM:SIATECCompressR:-,32,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,1,5,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,5
mozartK282Mvt2:2016DM:SIATECCompressR:-,32,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,8,0,0,0,0,0,0,0,2,0,9,0,0,1,0,0,0,0,1,0,4,0,0,0,0,0,0,0,1
mozartK282Mvt2:2016DM:SIATECCompressR:-,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,1,7,0,0,0,0,0,0,0,2,0,9,0,0,0,0,0,0,0,4
