name,total,exact,transposed,tonalTransped,inverted,augmented,retrograded,rotated,trInverted,trAugmented,trRetrograded,approxEq9,approxEq8,approxEq7,approxEq6,approxEq5,approxEq4,approxEq3,approxEq2,approxEq1,unclassified
bachBWV889Fg:bruhn:A,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
bachBWV889Fg:bruhn:B,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
bachBWV889Fg:bruhn:C,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
beethovenOp2No1Mvt3:barlowAndMorgenstern:A,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
beethovenOp2No1Mvt3:barlowAndMorgenstern:B,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
beethovenOp2No1Mvt3:sectionalRepetitions:E,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
beethovenOp2No1Mvt3:sectionalRepetitions:F,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
beethovenOp2No1Mvt3:sectionalRepetitions:G,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
beethovenOp2No1Mvt3:sectionalRepetitions:H,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
beethovenOp2No1Mvt3:tomCollins:I,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chopinOp24No4:barlowAndMorgenstern:A,13,3,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6
chopinOp24No4:barlowAndMorgensternRevised:B,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
chopinOp24No4:sectionalRepetitions:C,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chopinOp24No4:sectionalRepetitions:D,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gibbonsSilverSwan1612:tomCollins:A,9,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
gibbonsSilverSwan1612:tomCollins:B,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gibbonsSilverSwan1612:tomCollins:C,7,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
gibbonsSilverSwan1612:tomCollins:D,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gibbonsSilverSwan1612:tomCollins:E,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gibbonsSilverSwan1612:tomCollins:F,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gibbonsSilverSwan1612:tomCollins:G,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gibbonsSilverSwan1612:tomCollins:H,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mozartK282Mvt2:barlowAndMorgensternRevised:C,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mozartK282Mvt2:barlowAndMorgensternRevised:D,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mozartK282Mvt2:schoenberg:E,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
mozartK282Mvt2:schoenberg:F,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
mozartK282Mvt2:sectionalRepetitions:G,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mozartK282Mvt2:sectionalRepetitions:H,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mozartK282Mvt2:sectionalRepetitions:I,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mozartK282Mvt2:sectionalRepetitions:J,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mozartK282Mvt2:tomCollins:K,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
