name,total,exact,transposed,tonalTransped,inverted,augmented,retrograded,rotated,trInverted,trAugmented,trRetrograded,exact8,transposed8,tonalTransped8,inverted8,augmented8,retrograded8,rotated8,trInverted8,trAugmented8,trRetrograded8,exact6,transposed6,tonalTransped6,inverted6,augmented6,retrograded6,rotated6,trInverted6,trAugmented6,trRetrograded6,exact4,transposed4,tonalTransped4,inverted4,augmented4,retrograded4,rotated4,trInverted4,trAugmented4,trRetrograded4,exact2,transposed2,tonalTransped2,inverted2,augmented2,retrograded2,rotated2,trInverted2,trAugmented2,trRetrograded2,unclassified
ALL:ErWasEenKoopmanRijkEnMachtig:SIAF1,552,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,2,3,1,0,1,11,7,7,0,9,17,7,4,2,8,38,13,6,0,15,20,7,4,2,0,94,14,3,0,11,24,2,2,1,0,212
ErWasEenKoopmanRijkEnMachtig:SIAF1:-,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,3,0,0,2,2,2,1,0,0,7,1,0,0,2,3,1,0,0,0,18
ErWasEenKoopmanRijkEnMachtig:SIAF1:-,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,1,0,2,0,1,0,1,0,5,0,0,0,3,2,0,0,0,0,12,1,0,0,0,1,0,0,0,0,12
ErWasEenKoopmanRijkEnMachtig:SIAF1:-,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,4,0,0,0,3,0,0,0,0,29
ErWasEenKoopmanRijkEnMachtig:SIAF1:-,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,3,0,2,0,1,6,2,1,0,3,2,0,1,0,0,8,0,0,0,1,2,0,0,0,0,10
ErWasEenKoopmanRijkEnMachtig:SIAF1:-,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,3,0,0,0,0,4,1,0,0,3,3,0,0,0,0,2,0,2,0,0,4,4,0,0,0,5,0,0,0,0,12
ErWasEenKoopmanRijkEnMachtig:SIAF1:-,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,6,0,3,0,2,1,0,1,1,0,27
ErWasEenKoopmanRijkEnMachtig:SIAF1:-,46,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,5,2,1,0,1,0,1,0,1,0,12,0,0,0,2,0,0,0,0,0,16
ErWasEenKoopmanRijkEnMachtig:SIAF1:-,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,10,2,0,0,0,3,0,0,0,0,26
ErWasEenKoopmanRijkEnMachtig:SIAF1:-,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,2,0,0,2,0,0,0,0,0,10,0,0,0,2,0,1,0,0,0,23
ErWasEenKoopmanRijkEnMachtig:SIAF1:-,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2,0,0,5,4,0,0,0,6,1,2,0,0,3,2,0,0,0,3,2,0,0,0,0,0,0,0,0,9
ErWasEenKoopmanRijkEnMachtig:SIAF1:-,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,1,0,0,2,5,1,0,0,0,5,0,0,0,2,4,0,1,0,0,20
ErWasEenKoopmanRijkEnMachtig:SIAF1:-,46,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,3,0,3,3,0,2,0,0,6,1,1,0,2,2,0,0,0,0,8,0,0,0,0,2,0,0,0,0,10
