name,total,exact,transposed,tonalTransped,inverted,augmented,retrograded,rotated,trInverted,trAugmented,trRetrograded,exact8,transposed8,tonalTransped8,inverted8,augmented8,retrograded8,rotated8,trInverted8,trAugmented8,trRetrograded8,exact6,transposed6,tonalTransped6,inverted6,augmented6,retrograded6,rotated6,trInverted6,trAugmented6,trRetrograded6,exact4,transposed4,tonalTransped4,inverted4,augmented4,retrograded4,rotated4,trInverted4,trAugmented4,trRetrograded4,exact2,transposed2,tonalTransped2,inverted2,augmented2,retrograded2,rotated2,trInverted2,trAugmented2,trRetrograded2,unclassified
ALL,8160,1,66,34,13,0,0,37,28,31,38,8,36,29,0,5,10,6,27,12,8,186,428,345,12,150,131,275,119,180,110,627,1232,370,21,246,186,179,118,274,66,772,536,86,5,477,10,15,15,149,1,450
DaarGingEenHeer:RAND:nonpatmidiname0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,1,2,0,1,1,16,4,0,0,0,2,2,0,0,8,5,1,0,0,1,0,0,0,0,13
DaarReedEenJonkheer:RAND:nonpatmidiname0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,1,0,0,6,0,4,12,3,0,6,0,2,1,5,0,3,2,0,0,2,0,0,0,1,0,0
DaarWasLaatstmaalEenRuiter:RAND:nonpatmidiname0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,1,2,8,1,0,0,0,0,17,0,0,0,15,0,15
DaarZouErEenMaagdjeVroegOpstaan:RAND:nonpatmidiname0,48,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,3,4,1,1,1,0,3,14,0,0,0,1,1,1,0,0,6,2,0,0,1,0,0,0,0,0,1
EenLindeboomStondInHetDal:RAND:nonpatmidiname0,58,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,3,0,0,0,1,3,1,1,7,18,8,0,1,1,1,0,1,0,2,2,1,0,0,0,0,0,0,0,0
EenSoudaanHadEenDochtertje:RAND:nonpatmidiname0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,10,1,1,0,0,2,0,0,3,3,4,4,0,0,2,0,0,1,0,2,8,4,0,1,0,0,1,2,0,6
EnErWarenEensTweeZoeteliefjes:RAND:nonpatmidiname0,82,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,0,0,5,4,11,0,0,1,1,1,0,2,7,15,11,0,0,1,4,3,1,1,4,2,0,0,1,0,1,0,0,0,1
ErReedErEensEenRuiter:RAND:nonpatmidiname0,142,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,2,4,2,4,1,7,1,23,16,2,0,13,4,6,1,11,0,14,11,0,0,7,0,1,0,2,0,2
ErWasEenHerderinnetje:RAND:nonpatmidiname0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,5,12,0,0,0,1,1,1,2,8,5,1,0,0,0,0,0,0,0,0
